height,campusliving,siblings,pets,cars,hometown,collegeyear,roommates,age,carcolor ,countries,eyecolor,wshoesize,athlete,employed,brkbones,gpa,grandparents,credithrs ,activities ,degree,domhand,sneakers,graduateclass,veggie,greek,,,,,
66,"No, but I used to.",1,0,1,"Omaha, NE",Junior,4,19,black,6,brown,9,"Yes, JV.",Yes,0,3.5-4.0,1,14,1,"Science, Technology, Engineering and Mathematics",Righty,Nike,635,0,No,,,,,
66,"Yes, and I always have.",1,2,4,"Highlands Ranch, CO",Freshman,1,18,silver,6,blue,8.5,No.,No,0,3.5-4.0,3,16,2,"Science, Technology, Engineering and Mathematics",Righty,Adidas,250,2,No,,,,,
75,"Yes, and I always have.",1,3,5,"Gothenburg, NE",Junior,3,20,green,2,brown,13.5,No.,Yes,0,3.0-3.5,2,17,5,"Science, Technology, Engineering and Mathematics",Righty,Other,75,1,Yes,,,,,
77,"No, but I used to.",2,1,3,"Loveland, CO",Senior,6,21,blue,3,blue,13.5,No.,Yes,2,3.0-3.5,4,14,2,"Science, Technology, Engineering and Mathematics",Righty,Nike,450,1,No,,,,,
60,"No, but I used to.",2,2,5,"Lincoln, NE",Senior,7,22,white,2,hazel,5.5,No.,Yes,0,3.5-4.0,6,14,2,"Science, Technology, Engineering and Mathematics",Righty,Nike,500,0,Yes,,,,,
69,"Yes, and I always have.",1,4,4,"Deweese, NE",Sophomore,7,20,white,1,hazel,11,No.,Yes,0,3.5-4.0,3,18,7,Education,Righty,Vans,25,2,Yes,,,,,
74,"Yes, and I always have.",3,2,4,"Fremont, NE",Senior,4,21,red,5,blue,14,No.,Yes,9,3.0-3.5,2,16,5,"Science, Technology, Engineering and Mathematics",Righty,Nike,850,3,Yes,,,,,
60,"Yes, and I always have.",1,2,3,"Fort Worth, TX",Junior,11,21,silver,1,blue,8.5,No.,Yes,0,3.0-3.5,1,16,3,Education,Righty,Nike,1000,2,No,,,,,
71,"No, but I used to.",3,2,3,"San Diego, CA",Junior,8,21,other,3,brown,14,No.,Yes,2,2.5-3.0,3,15,4,"Science, Technology, Engineering and Mathematics",Righty,Vans,620,2,Yes,,,,,
68,"No, and I never have.",1,1,5,"Lincoln, NE",5th Year Senior ,11,22,blue,2,brown,13,No.,No,3,3.5-4.0,6,15,3,"Science, Technology, Engineering and Mathematics",Righty,Adidas,500,3,Yes,,,,,
