SellingPrice,SellingPrice2020(inflation),ListingPrice, Days on Market , ZIP , Street Full Address , Subdivision Display , Zoning , Bedrooms , Bathrooms , SqFt , Year Built , Garage , Price_Per_SqFt 
149000,156016,152500, 79 ," 68,502 "," 3241 E Summit Blvd, Lincoln, NE 68502 ",, R1 , 3 , 1.00 ," 1,242.00 "," 1,952 ", 1.00 , 119.97 
150000,157064,165000, 64 ," 68,506 "," 5221 Melrose, Lincoln, NE 68506 ",, R1 , 2 , 1.75 ," 1,120.00 "," 1,976 ", 2.00 , 133.93 
132000,138216,127000, 15 ," 68,506 "," 1720 Crestline Dr, Lincoln, NE 68506 ",, R1 , 3 , 1.75 ," 1,170.00 "," 1,956 ", 1.00 , 112.82 
165000,172770,170000, 72 ," 68,502 "," 2539 Woods Blvd, Lincoln, NE 68502 ",, R1 , 3 , 1.25 ," 1,622.00 "," 1,958 ", 1.00 , 101.73 
87000,91097,87000, 34 ," 68,506 "," 3264 Normal Blvd, Lincoln, NE 68506 ",, R1 , 2 , 1.75 , 847.00 ," 1,950 ", -   , 102.72 
124900,130782,124900, 42 ," 68,507 "," 3025 N 60th St, Lincoln, NE 68507 ",, R1 , 3 , 1.00 ," 1,428.00 "," 1,953 ", 1.00 , 87.47 
105600,110573,104900, 78 ," 68,524 "," 3600 NW Michael, Lincoln, NE 68524 ",, R1 , 3 , 1.00 ," 1,201.00 "," 1,955 ", 1.00 , 87.27 
162000,169629,160000, 44 ," 68,512 "," 4806 Tipperary Trl, Lincoln, NE 68512 ",, R1 , 3 , 1.75 , 840.00 ," 1,971 ", 1.00 , 192.86 
128000,134028,128000, 47 ," 68,521 "," 3510 N Miller Rd, Lincoln, NE 68521-2763 ",, R1 , 1 , 2.00 , 792.00 ," 1,985 ", 1.00 , 161.62 
83500,87432,97500, 100 ," 68,510 "," 4320 E, Lincoln, NE 68510 ",, R1 , 2 , 1.00 , 672.00 ," 1,952 ", -   , 124.26 
144900,151723,144900, 81 ," 68,510 "," 7315 Englewood Dr, Lincoln, NE 68510 ",, R1 , 3 , 1.50 , 980.00 ," 1,963 ", 1.00 , 147.86 
115000,120415,115000, 56 ," 68,506 "," 2829 S 34th St, Lincoln, NE 68506 ",, R1 , 2 , 1.00 ," 1,134.00 "," 1,952 ", 1.00 , 101.41 
150500,157587,149900, 36 ," 68,504 "," 3400 N 53rd St, Lincoln, NE 68504 ",, R1 , 3 , 1.75 , 775.00 ," 1,955 ", 1.00 , 194.19 
115000,120415,110000, 32 ," 68,505 "," 7049 Dudley St, Lincoln, NE 68505 ",, R1 , 2 , 1.75 , 792.00 ," 1,961 ", 1.00 , 145.20 
147355,154294,159500, 63 ," 68,505 "," 600 Trail Ridge Rd, Lincoln, NE 68505 ",, R1 , 3 , 1.50 ," 1,412.00 "," 1,963 ", 2.00 , 104.36 
165000,177754,164900, 31 ," 68,506 "," 2717 Anderson Dr, Lincoln, NE 68506 ",, R1 , 3 , 2.00 ," 1,370.00 "," 1,958 ", 1.00 , 120.44 
145000,151828,149950, 36 ," 68,512 "," 5809 Berkeley Dr #7, Lincoln, NE 68512 ",, R1 , 2 , 2.25 ," 1,196.00 "," 1,982 ", 1.00 , 121.24 
130000,136122,130000, 102 ," 68,521 "," 167 Laramie Trl, Lincoln, NE 68521 ",, R1 , 2 , 1.50 , 816.00 ," 1,979 ", 1.00 , 159.31 
133000,139263,131700, 44 ," 68,521 "," 4521 Lewis Ave, Lincoln, NE 68521 ",, R1 , 3 , 1.75 , 948.00 ," 1,973 ", -   , 140.30 
