PLAYER,POSITION,AGE,MP,FG,FGA,FGPer,3P,3PA,3PPer,2P,2PA,2PPer,FT,FTA,FTPer,ORB,DRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,W,SALARYMILL,PAGEVIEWS,FAVORITE,RETWEET
Corey Brewer,SF,30.000,15.600,1.800,4.200,0.422,0.300,1.400,0.229,1.500,2.800,0.522,0.600,0.800,0.735,0.400,1.600,1.200,0.700,0.200,0.700,1.600,4.500,HOU/LAL,82.00,15.60,47.00,7.61,314.00,51.50,15.50
Marcin Gortat,C,32.000,31.200,4.800,8.200,0.579,0.000,0.000,0.000,4.800,8.200,0.580,1.300,1.900,0.648,2.900,7.500,1.500,0.500,0.700,1.500,2.600,10.800,WSH,82.00,31.20,49.00,12.00,315.00,1.00,1.00
Cameron Payne,PG,22.000,14.900,2.100,6.200,0.332,0.900,2.800,0.314,1.200,3.500,0.346,0.200,0.300,0.625,0.100,1.500,1.800,0.500,0.100,0.900,1.700,5.200,CHI/OKC,31.00,14.90,16.00,2.11,324.50,38.50,21.00
Tobias Harris,PF,24.000,31.300,6.200,13.000,0.481,1.300,3.800,0.347,4.900,9.100,0.537,2.300,2.800,0.841,0.800,4.300,1.700,0.700,0.500,1.200,1.600,16.100,DET,82.00,31.30,37.00,17.20,327.00,2.00,4.00
Al-Farouq Aminu,SF,26.000,29.100,3.000,7.600,0.393,1.100,3.500,0.330,1.900,4.200,0.445,1.600,2.200,0.706,1.300,6.100,1.600,1.000,0.700,1.500,1.700,8.700,POR,61.00,29.10,33.00,7.68,330.50,33.00,9.00
Sam Dekker,SF,22.000,18.400,2.600,5.600,0.473,0.800,2.400,0.321,1.900,3.100,0.591,0.500,0.900,0.559,1.200,2.500,1.000,0.500,0.300,0.500,1.100,6.500,HOU,77.00,18.40,52.00,1.72,331.00,139.00,13.00
Markieff Morris,PF,27.000,31.200,5.300,11.700,0.457,0.900,2.600,0.362,4.400,9.100,0.483,2.400,2.800,0.837,1.400,5.100,1.700,1.100,0.600,1.700,3.300,14.000,WSH,76.00,31.20,45.00,7.40,331.50,9.00,18.00
Trey Lyles,PF,21.000,16.300,2.200,6.200,0.362,0.900,2.900,0.319,1.300,3.300,0.400,0.800,1.100,0.722,0.700,2.600,1.000,0.400,0.300,0.900,1.400,6.200,UTAH,71.00,16.30,43.00,2.34,334.50,48.00,12.00
Tyler Zeller,C,27.000,10.300,1.500,3.100,0.494,0.000,0.000,0.000,1.500,3.100,0.497,0.400,0.800,0.564,0.800,1.600,0.800,0.100,0.400,0.400,1.200,3.500,BOS,51.00,10.30,32.00,8.00,336.00,15.00,14.00
Courtney Lee,SG,31.000,31.900,4.200,9.100,0.456,1.400,3.500,0.401,2.800,5.600,0.490,1.100,1.300,0.867,0.700,2.700,2.300,1.100,0.300,0.900,1.800,10.800,NY,77.00,31.90,29.00,11.24,337.50,2.00,1.00
Eric Gordon,SG,28.000,31.000,5.500,13.500,0.406,3.300,8.800,0.372,2.200,4.700,0.468,2.000,2.300,0.840,0.400,2.300,2.500,0.600,0.500,1.600,2.000,16.200,HOU,75.00,31.00,50.00,12.39,346.00,55.00,26.00
Danilo Gallinari,SF,28.000,33.900,5.300,11.900,0.447,2.000,5.100,0.389,3.300,6.800,0.491,5.500,6.100,0.902,0.600,4.500,2.100,0.600,0.200,1.300,1.500,18.200,DEN,63.00,33.90,31.00,15.05,350.00,29.00,6.00
Kyle Singler,SF,28.000,12.000,1.100,2.600,0.410,0.200,1.200,0.189,0.800,1.400,0.587,0.400,0.500,0.765,0.300,1.300,0.300,0.200,0.200,0.300,0.900,2.800,OKC,32.00,12.00,15.00,4.84,354.00,9.00,6.00
Miles Plumlee,C,28.000,10.800,1.000,2.000,0.478,0.000,0.000,,1.000,2.000,0.478,0.600,0.900,0.641,0.800,1.300,0.500,0.400,0.300,0.700,1.600,2.500,MIL/CHA,45.00,10.80,19.00,12.50,362.00,11.00,3.00
DeMarre Carroll,SF,30.000,26.100,3.100,7.600,0.400,1.500,4.400,0.341,1.500,3.200,0.483,1.200,1.600,0.761,0.900,2.900,1.000,1.100,0.400,0.800,2.000,8.900,TOR,72.00,26.10,44.00,14.20,363.50,29.50,8.00
