season,ht,salary,name,points,position,tall
2015-2016,72,"2,250,000",Aaron Brooks,243,PG,No
2015-2016,81,"4,171,680",Aaron Gordon,161,PF,Yes
2015-2016,78,"525,093",Aaron Harrison,387,SG,Yes
2015-2016,82,"1,938,840",Adreian Payne,267,PF,Yes
2015-2016,82,"12,000,000",Al Horford,53,C,Yes
2015-2016,82,"13,500,000",Al Jefferson,38,C,Yes
2015-2016,82,"8,042,895",Al-Farouq Aminu,85,SF,Yes
2015-2016,78,"4,000,000",Alan Anderson,166,SG,Yes
2015-2016,78,"9,463,484",Alec Burks,73,SG,Yes
2015-2016,85,"3,807,120",Alex Len,174,C,Yes
2015-2016,86,"4,389,607",Alexis Ajinca,153,C,Yes
2015-2016,78,"947,276",Allen Crabbe,363,SG,Yes
2015-2016,78,"1,320,000",Alonzo Gee,302,SF,Yes
2015-2016,83,"289,755",Anderson Varejao,398,PF,Yes
2015-2016,84,"3,272,091",Andre Drummond,193,C,Yes
2015-2016,78,"11,710,456",Andre Iguodala,54,SF,Yes
2015-2016,74,"250,750",Andre Miller,402,PG,No
2015-2016,79,"1,210,800",Andre Roberson,313,SG,Yes
2015-2016,84,"1,362,897",Andrea Bargnani,298,C,Yes
2015-2016,84,"13,800,000",Andrew Bogut,36,C,Yes
2015-2016,81,"2,380,593",Andrew Nicholson,237,PF,Yes
2015-2016,80,"5,758,680",Andrew Wiggins,117,SG,Yes
2015-2016,71,"700,000",Anthony Brown,379,PG,No
2015-2016,82,"7,070,730",Anthony Davis,98,PF,Yes
2015-2016,77,"3,344,000",Anthony Morrow,190,SG,Yes
2015-2016,77,"1,160,160",Archie Goodwin,321,SG,Yes
2015-2016,82,"6,500,000",Aron Baynes,108,C,Yes
2015-2016,77,"8,000,000",Arron Afflalo,88,SG,Yes
2015-2016,76,"3,110,796",Austin Rivers,198,PG,No
2015-2016,74,"7,730,337",Avery Bradley,91,PG,No
2015-2016,77,"3,156,600",Ben McLemore,195,SG,Yes
2015-2016,75,"2,170,465",Beno Udrih,247,PG,No
2015-2016,81,"2,814,000",Bismack Biyombo,219,C,Yes
2015-2016,82,"18,907,726",Blake Griffin,13,PF,Yes
2015-2016,72,"525,093",Bo McCalebb,394,PG,No
2015-2016,87,"1,200,000",Boban Marjanovic,315,C,Yes
2015-2016,83,"1,391,160",Bobby Portis,297,PF,Yes
2015-2016,79,"3,425,510",Bojan Bogdanovic,185,SG,Yes
2015-2016,80,"7,500,000",Boris Diaw,93,C,Yes
2015-2016,77,"5,694,674",Bradley Beal,120,SG,Yes
2015-2016,81,"5,464,000",Brandan Wright,129,PF,Yes
2015-2016,80,"3,000,000",Brandon Bass,204,PF,Yes
2015-2016,73,"8,344,497",Brandon Jennings,80,PG,No
2015-2016,75,"13,500,000",Brandon Knight,39,PG,No
2015-2016,78,"1,270,964",Brandon Rush,308,SF,Yes
2015-2016,84,"10,522,500",Brendan Haywood,62,C,Yes
2015-2016,69,"2,854,940",Brian Roberts,213,PG,No
2015-2016,81,"1,524,000",Bruno Caboclo,286,SF,Yes
2015-2016,73,"700,902",Bryce Cotton,378,PG,No
2015-2016,78,"169,883",Bryce Dejean-Jones,405,SG,Yes
2015-2016,75,"2,525,160",C.J. McCollum,228,SG,No
2015-2016,78,"4,394,225",C.J. Miles,152,SF,Yes
2015-2016,77,"1,159,680",C.J. Wilcox,322,SG,Yes
2015-2016,75,"2,021,520",Cameron Payne,262,PG,No
2015-2016,81,"6,500,000",Carl Landry,107,PF,Yes
2015-2016,80,"22,875,000",Carmelo Anthony,3,SF,Yes
2015-2016,79,"1,449,187",Caron Butler,293,SF,Yes
2015-2016,82,"15,361,500",Chandler Parsons,29,SF,Yes
2015-2016,84,"8,193,029",Channing Frye,84,PF,Yes
2015-2016,79,"5,000,000",Chase Budinger,141,SF,Yes
2015-2016,82,"5,000,000",Chris Andersen,142,PF,Yes
2015-2016,83,"22,192,730",Chris Bosh,5,PF,Yes
2015-2016,80,"1,150,000",Chris Copeland,324,PF,Yes
2015-2016,78,"981,348",Chris Johnson,353,SF,Yes
2015-2016,84,"5,016,000",Chris Kaman,139,C,Yes
2015-2016,83,"1,140,240",Chris McCullough,330,PF,Yes
2015-2016,72,"21,468,695",Chris Paul,6,PG,No
2015-2016,81,"525,093",Cliff Alexander,393,PF,Yes
2015-2016,82,"1,242,720",Clint Capela,311,PF,Yes
2015-2016,84,"4,204,200",Cody Zeller,160,C,Yes
2015-2016,83,"1,100,602",Cole Aldrich,335,C,Yes
2015-2016,81,"8,229,375",Corey Brewer,82,SG,Yes
2015-2016,81,"49,709",Cory Jefferson,414,PF,Yes
2015-2016,75,"7,000,000",Cory Joseph,100,PG,No
2015-2016,77,"5,675,000",Courtney Lee,121,SG,Yes
2015-2016,72,"3,000,000",D.J. Augustin,205,PG,No
2015-2016,77,"5,103,120",D'Angelo Russell,138,PG,Yes
2015-2016,75,"4,236,287",Damian Lillard,159,PG,No
2015-2016,81,"855,000",Damien Inglis,368,SF,Yes
2015-2016,78,"947,276",Damien Wilkins,357,SG,Yes
2015-2016,82,"1,149,500",Damjan Rudez,325,SF,Yes
2015-2016,82,"14,000,000",Danilo Gallinari,34,SF,Yes
2015-2016,78,"10,000,000",Danny Green,68,SG,Yes
2015-2016,80,"2,850,000",Dante Cunningham,215,PF,Yes
2015-2016,78,"3,777,720",Dante Exum,175,PG,Yes
2015-2016,81,"2,814,000",Darrell Arthur,221,PF,Yes
2015-2016,72,"5,013,559",Darren Collison,140,PG,No
2015-2016,78,"600,000",Darrun Hilliard,382,SF,Yes
2015-2016,81,"2,085,671",David Lee,257,PF,Yes
2015-2016,81,"1,499,187",David West,290,PF,Yes
2015-2016,79,"2,000,000",DeJuan Blair,264,C,Yes
2015-2016,77,"1,509,360",Delon Wright,287,PG,Yes
2015-2016,79,"10,050,000",DeMar DeRozan,67,SG,Yes
2015-2016,83,"15,851,950",DeMarcus Cousins,23,C,Yes
2015-2016,80,"13,600,000",DeMarre Carroll,37,SF,Yes
2015-2016,73,"1,763,400",Dennis Schroder,272,PG,No
2015-2016,75,"5,378,974",Deron Williams,130,PG,No
2015-2016,75,"20,093,064",Derrick Rose,8,PG,No
2015-2016,80,"4,000,000",Derrick Williams,168,PF,Yes
2015-2016,78,"2,127,840",Devin Booker,254,SG,Yes
2015-2016,75,"4,053,446",Devin Harris,164,PG,No
2015-2016,76,"5,138,430",Dion Waiters,137,SG,No
2015-2016,84,"8,333,334",Dirk Nowitzki,81,PF,Yes
2015-2016,84,"2,288,205",Donatas Motiejunas,241,PF,Yes
2015-2016,80,"2,380,440",Doug McDermott,238,SF,Yes
2015-2016,79,"14,260,870",Draymond Green,32,PF,Yes
2015-2016,82,"3,300,000",Drew Gooden,192,PF,Yes
2015-2016,83,"22,359,364",Dwight Howard,4,C,Yes
2015-2016,76,"20,000,000",Dwyane Wade,9,SG,No
2015-2016,76,"1,015,421",E'Twaun Moore,343,SG,No
2015-2016,82,"1,185,784",Earl Clark,317,SF,Yes
2015-2016,82,"6,980,802",Ed Davis,103,C,Yes
2015-2016,75,"2,505,720",Elfrid Payton,229,PG,No
2015-2016,77,"55,722",Elliot Williams,412,SG,Yes
2015-2016,77,"3,102,240",Emmanuel Mudiay,199,PG,Yes
2015-2016,83,"16,407,500",Enes Kanter,19,C,Yes
2015-2016,76,"15,514,031",Eric Gordon,26,SG,No
2015-2016,76,"99,418",Erick Green,408,PG,No
2015-2016,82,"7,900,000",Ersan Ilyasova,90,PF,Yes
2015-2016,79,"2,288,205",Evan Fournier,240,SG,Yes
2015-2016,79,"3,425,510",Evan Turner,186,SG,Yes
2015-2016,83,"2,008,748",Festus Ezeli,263,C,Yes
2015-2016,83,"2,612,520",Frank Kaminsky III,226,C,Yes
2015-2016,82,"2,836,768",Furkan Aldemir,217,PF,Yes
2015-2016,78,"1,100,602",Garrett Temple,332,SG,Yes
2015-2016,76,"1,584,480",Gary Harris,283,SG,No
2015-2016,76,"2,139,000",Gary Neal,253,PG,No
2015-2016,77,"6,000,000",Gerald Henderson,116,SG,Yes
2015-2016,79,"10,105,855",Gerald Wallace,66,SF,Yes
2015-2016,83,"1,953,960",Giannis Antetokounmpo,266,SF,Yes
2015-2016,78,"1,100,000",Glenn Robinson III,337,SG,Yes
2015-2016,75,"14,783,000",Goran Dragic,30,PG,No
2015-2016,80,"15,409,570",Gordon Hayward,28,SF,Yes
2015-2016,83,"1,474,440",Gorgui Dieng,291,C,Yes
2015-2016,82,"947,276",Grant Jerrett,361,PF,Yes
2015-2016,80,"525,093",Greg Whittington,384,SF,Yes
2015-2016,78,"6,600,000",Greivis Vasquez,106,PG,Yes
2015-2016,80,"3,873,398",Harrison Barnes,172,SF,Yes
2015-2016,78,"1,100,602",Henry Walker,333,SF,Yes
2015-2016,83,"4,000,000",Ian Mahinmi,167,C,Yes
2015-2016,77,"8,988,765",Iman Shumpert,77,SG,Yes
2015-2016,69,"6,912,869",Isaiah Thomas,104,PG,No
2015-2016,72,"4,290,000",J.J. Barea,158,PG,No
